trace,kind,round,accuracy,tier,degree,avg_coverage_width,tau_vs_true,symdiff_vs_true,tau_vs_final,symdiff_vs_final,tau_vs_prev,symdiff_vs_prev
#3 zero-weight-criterion,oracle,48,0.914269,veryHigh,3,0.069348,0.691842,10,0.634955,8,0.989910,0
#3 zero-weight-criterion,oracle,49,0.914269,veryHigh,3,0.069348,0.894664,4,0.774413,8,0.742965,10
#3 zero-weight-criterion,oracle,50,0.914269,veryHigh,4,0.069348,0.686853,10,0.618812,8,0.730156,10
#3 zero-weight-criterion,oracle,51,0.917518,veryHigh,4,0.067759,0.708815,8,0.651054,6,0.960966,2
#3 zero-weight-criterion,oracle,52,0.917518,veryHigh,4,0.067759,0.706603,8,0.647248,6,0.985541,0
#3 zero-weight-criterion,oracle,53,0.917518,veryHigh,4,0.067759,0.708299,8,0.646642,6,0.984894,0
#3 zero-weight-criterion,oracle,54,0.917518,veryHigh,4,0.067759,0.708815,8,0.651054,6,0.986987,0
#3 zero-weight-criterion,oracle,55,0.917518,veryHigh,4,0.067759,0.708656,8,0.647434,6,0.986028,0
#3 zero-weight-criterion,oracle,56,0.917518,veryHigh,4,0.067759,0.708815,8,0.651054,6,0.986028,2
#3 zero-weight-criterion,oracle,57,0.920149,veryHigh,4,0.065855,0.871714,4,0.991133,0,0.651415,6
#3 zero-weight-criterion,oracle,58,0.933466,veryHigh,4,0.041584,0.870054,4,0.989536,0,0.990085,0
#3 zero-weight-criterion,oracle,59,0.933466,veryHigh,4,0.041584,0.871054,4,0.989255,0,0.989412,0
#3 zero-weight-criterion,oracle,60,0.933466,veryHigh,5,0.041584,0.870054,4,0.989536,0,0.989412,0
#3 zero-weight-criterion,oracle,61,0.933466,veryHigh,5,0.041584,0.870054,4,0.989536,0,0.988392,0
#3 zero-weight-criterion,oracle,62,0.933466,veryHigh,5,0.041584,0.870054,4,0.989536,0,0.988392,0
#3 zero-weight-criterion,oracle,63,0.933466,veryHigh,5,0.041584,0.870054,4,0.989536,0,0.988392,0
#3 zero-weight-criterion,oracle,64,0.933466,veryHigh,5,0.041584,0.871176,4,0.990704,0,0.989536,0
#3 zero-weight-criterion,oracle,65,0.933466,veryHigh,5,0.041584,0.871176,4,0.990704,0,0.990704,0
#3 zero-weight-criterion,oracle,66,0.933466,veryHigh,5,0.041584,0.874347,4,0.993421,0,0.993421,0
#3 zero-weight-criterion,oracle,67,0.933466,veryHigh,6,0.041584,0.871176,4,0.990704,0,0.993421,0
#3 zero-weight-criterion,oracle,68,0.924418,veryHigh,6,0.041584,0.874100,4,0.987908,0,0.987908,0
#3 zero-weight-criterion,oracle,69,0.924418,veryHigh,6,0.041584,0.874347,4,0.988166,0,0.988867,0
#3 zero-weight-criterion,oracle,70,0.933466,veryHigh,6,0.041584,0.874125,4,0.990466,0,0.988386,0
#3 zero-weight-criterion,oracle,71,0.933466,veryHigh,6,0.041584,0.871176,4,0.990704,0,0.990466,0
#4 linear-control,oracle,1,0.104833,insufficient,2,0.916588,0.655596,8,0.606018,6,,
#4 linear-control,oracle,2,0.144512,insufficient,2,0.833263,0.606743,8,0.639278,8,0.414062,12
#4 linear-control,oracle,3,0.194507,insufficient,2,0.749938,0.574083,6,0.601018,6,0.689624,8
#4 linear-control,oracle,4,0.271880,insufficient,2,0.666613,0.453784,10,0.471076,10,0.510463,8
#4 linear-control,oracle,5,0.342666,insufficient,2,0.576344,0.452842,14,0.473838,14,0.774855,8
#4 linear-control,oracle,6,0.370092,insufficient,2,0.548512,0.482462,8,0.497314,8,0.741425,12
#4 linear-control,oracle,7,0.389779,insufficient,2,0.520733,0.444160,10,0.454551,10,0.687357,6
#4 linear-control,oracle,8,0.403754,insufficient,2,0.492955,0.464509,6,0.476224,8,0.609069,10
#4 linear-control,oracle,9,0.406618,insufficient,2,0.465176,0.516597,8,0.528057,8,0.697909,4
#4 linear-control,oracle,10,0.422569,insufficient,2,0.451218,0.444278,6,0.464963,6,0.703368,4
#4 linear-control,oracle,11,0.439636,insufficient,2,0.437325,0.453546,4,0.474688,4,0.809200,4
#4 linear-control,oracle,12,0.456778,insufficient,2,0.423433,0.446262,6,0.467178,6,0.791228,6
#4 linear-control,oracle,13,0.475577,insufficient,2,0.406776,0.432893,6,0.456985,6,0.888917,0
#4 linear-control,oracle,14,0.479679,insufficient,2,0.392762,0.417332,6,0.440213,6,0.963289,0
#4 linear-control,oracle,15,0.479680,insufficient,2,0.392762,0.428658,8,0.446524,8,0.851245,6
#4 linear-control,oracle,16,0.481920,insufficient,2,0.392749,0.464515,6,0.474628,6,0.868212,6
#4 linear-control,oracle,17,0.481938,insufficient,2,0.392737,0.608381,8,0.599960,10,0.505985,6
