oracle_id,oracle_name,round,degree,progress_pct,accuracy,tier,fired,avg_coverage_width,max_coverage_width,total_slack,noisy_flip,matches_true_top10,top10,point_vec
3,zero-weight-criterion,48,3,91,0.914269,veryHigh,false,0.069348,0.166583,-0.000000,false,false,synthetic-album-0|synthetic-album-1|synthetic-album-10|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8,0.000100037 0.083341668 0.166583299 0.166683336 0.000100037 0.083341668 0.166583299 0.166683336 0.000100037 0.083341668 0.166583299 0.166683336 0.000100037 0.083341668 0.166583299 0.166683336 0.000100037 0.083341668 0.166583299 0.166683336 0.000000010 0.000000024 0.166583304 0.166583319
3,zero-weight-criterion,49,3,91,0.914269,veryHigh,false,0.069348,0.166583,-0.000000,false,true,synthetic-album-0|synthetic-album-1|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8|synthetic-album-9,0.000100036 0.099999995 0.199899954 0.199999990 0.000100036 0.099999995 0.199899954 0.199999990 0.000100036 0.099999995 0.199899954 0.199999990 0.000100036 0.099999995 0.199899954 0.199999990 0.000100036 0.099999995 0.199899954 0.199999990 0.000000010 0.000000024 0.000000037 0.000000051
3,zero-weight-criterion,50,4,91,0.914269,veryHigh,false,0.069348,0.166584,-0.000000,false,false,synthetic-album-0|synthetic-album-1|synthetic-album-10|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8,0.000100035 0.083341664 0.166583288 0.166683336 0.000100040 0.083341668 0.166583292 0.166683336 0.000100044 0.083341677 0.166583301 0.166683336 0.000100035 0.083341659 0.166583288 0.166683336 0.000100030 0.083341664 0.166583288 0.166683336 0.000000000 0.000000014 0.166583306 0.166583319
3,zero-weight-criterion,51,4,92,0.917518,veryHigh,false,0.067759,0.166501,0.000000,false,false,synthetic-album-0|synthetic-album-1|synthetic-album-10|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8,0.000100034 0.083350002 0.166599970 0.166700004 0.000100034 0.083350002 0.166599970 0.166700004 0.000100034 0.083350002 0.166599970 0.166700004 0.000100034 0.083350002 0.166599970 0.166700004 0.000100034 0.083350002 0.166599970 0.166700004 0.000000009 0.000000023 0.166499966 0.166499979
3,zero-weight-criterion,52,4,92,0.917518,veryHigh,false,0.067759,0.166501,-0.000000,false,false,synthetic-album-0|synthetic-album-1|synthetic-album-10|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8,0.000100034 0.083350003 0.166599972 0.166700006 0.000100034 0.083350003 0.166599972 0.166700006 0.000100034 0.083350003 0.166599972 0.166700006 0.000100034 0.083350003 0.166599972 0.166700006 0.000100034 0.083350003 0.166599972 0.166700006 -0.000000000 0.000000013 0.166499959 0.166499972
3,zero-weight-criterion,53,4,92,0.917518,veryHigh,false,0.067759,0.166501,0.000000,false,false,synthetic-album-0|synthetic-album-1|synthetic-album-10|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8,0.000100033 0.083350003 0.166599972 0.166700006 0.000100033 0.083350003 0.166599972 0.166700006 0.000100033 0.083350003 0.166599972 0.166700006 0.000100033 0.083350003 0.166599972 0.166700006 0.000100033 0.083350003 0.166599972 0.166700006 -0.000000000 0.000000013 0.166499960 0.166499972
3,zero-weight-criterion,54,4,92,0.917518,veryHigh,false,0.067759,0.166501,-0.000000,false,false,synthetic-album-0|synthetic-album-1|synthetic-album-10|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8,0.000100032 0.083350002 0.166599972 0.166700004 0.000100032 0.083350002 0.166599972 0.166700004 0.000100032 0.083350002 0.166599972 0.166700004 0.000100032 0.083350002 0.166599972 0.166700004 0.000100032 0.083350002 0.166599972 0.166700004 0.000000009 0.000000021 0.166499968 0.166499981
3,zero-weight-criterion,55,4,92,0.917518,veryHigh,false,0.067759,0.166501,0.000000,false,false,synthetic-album-0|synthetic-album-1|synthetic-album-10|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8,0.000100032 0.083350003 0.166599974 0.166700005 0.000100032 0.083350003 0.166599974 0.166700005 0.000100032 0.083350003 0.166599974 0.166700005 0.000100032 0.083350003 0.166599974 0.166700005 0.000100032 0.083350003 0.166599974 0.166700005 -0.000000000 0.000000012 0.166499961 0.166499974
3,zero-weight-criterion,56,4,92,0.917518,veryHigh,false,0.067759,0.166501,-0.000000,false,false,synthetic-album-0|synthetic-album-1|synthetic-album-10|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8,0.000100030 0.083350002 0.166599974 0.166700004 0.000100030 0.083350002 0.166599974 0.166700004 0.000100030 0.083350002 0.166599974 0.166700004 0.000100030 0.083350002 0.166599974 0.166700004 0.000100030 0.083350002 0.166599974 0.166700004 0.000000008 0.000000020 0.166499970 0.166499982
3,zero-weight-criterion,57,4,92,0.920149,veryHigh,false,0.065855,0.166418,0.000000,false,true,synthetic-album-0|synthetic-album-1|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8|synthetic-album-9,0.099899966 0.099999996 0.100100026 0.199999991 0.099899966 0.099999996 0.100100026 0.199999991 0.099899966 0.099999996 0.100100026 0.199999991 0.099899966 0.099999996 0.100100026 0.199999991 0.099899966 0.099999996 0.100100026 0.199999991 0.000000008 0.000000020 0.000000032 0.000000043
3,zero-weight-criterion,58,4,93,0.933466,veryHigh,false,0.041584,0.099802,0.000000,false,true,synthetic-album-0|synthetic-album-1|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8|synthetic-album-9,0.099899967 0.099999996 0.100100025 0.199999992 0.099899967 0.099999996 0.100100025 0.199999992 0.099899967 0.099999996 0.100100025 0.199999992 0.099899967 0.099999996 0.100100025 0.199999992 0.099899967 0.099999996 0.100100025 0.199999992 0.000000008 0.000000019 0.000000030 0.000000041
