trace,round,degree,criterion,level,width,touched_at_degree
#1 uniform,21,2,0,5,0.000000333,1
#1 uniform,21,2,1,2,0.166666833,1
#1 uniform,21,2,1,3,0.166666833,1
#1 uniform,21,2,1,4,0.166666833,1
#1 uniform,21,2,1,5,0.000000333,1
#1 uniform,21,2,2,2,0.166666833,1
#1 uniform,21,2,2,3,0.166666833,1
#1 uniform,21,2,2,4,0.166666833,0
#1 uniform,21,2,2,5,0.000000333,1
#1 uniform,21,2,3,2,0.166666833,1
#1 uniform,21,2,3,3,0.166666833,1
#1 uniform,21,2,3,4,0.166666833,1
#1 uniform,21,2,3,5,0.000000333,1
#1 uniform,21,2,4,2,0.166666833,0
#1 uniform,21,2,4,3,0.166666833,0
#1 uniform,21,2,4,4,0.166666833,0
#1 uniform,21,2,4,5,0.000000333,1
#1 uniform,21,2,5,2,0.166666833,0
#1 uniform,21,2,5,3,0.166666833,0
#1 uniform,21,2,5,4,0.166666833,0
#1 uniform,21,2,5,5,0.000000333,1
#1 uniform,22,2,0,2,0.166666833,1
#1 uniform,22,2,0,3,0.166666833,1
#1 uniform,22,2,0,4,0.166666833,1
#1 uniform,22,2,0,5,0.000000333,1
#1 uniform,22,2,1,2,0.166666833,1
#1 uniform,22,2,1,3,0.166666833,1
#1 uniform,22,2,1,4,0.166666833,1
#1 uniform,22,2,1,5,0.000000333,1
#1 uniform,22,2,2,2,0.166666833,1
#1 uniform,22,2,2,3,0.166666833,1
#1 uniform,22,2,2,4,0.166666833,0
#1 uniform,22,2,2,5,0.000000333,1
#1 uniform,22,2,3,2,0.166666833,1
#1 uniform,22,2,3,3,0.166666833,1
#1 uniform,22,2,3,4,0.166666833,1
#1 uniform,22,2,3,5,0.000000333,1
#1 uniform,22,2,4,2,0.166666833,0
#1 uniform,22,2,4,3,0.166666833,0
#1 uniform,22,2,4,4,0.166666833,0
#1 uniform,22,2,4,5,0.000000333,1
#1 uniform,22,2,5,2,0.166666833,1
#1 uniform,22,2,5,3,0.166666833,1
#1 uniform,22,2,5,4,0.166666833,0
#1 uniform,22,2,5,5,0.000000333,1
#1 uniform,23,2,0,2,0.166666833,1
#1 uniform,23,2,0,3,0.166666833,1
#1 uniform,23,2,0,4,0.166666833,1
#1 uniform,23,2,0,5,0.000000333,1
#1 uniform,23,2,1,2,0.166666833,1
#1 uniform,23,2,1,3,0.166666833,1
#1 uniform,23,2,1,4,0.166666833,1
#1 uniform,23,2,1,5,0.000000333,1
#1 uniform,23,2,2,2,0.166666833,1
#1 uniform,23,2,2,3,0.166666833,1
#1 uniform,23,2,2,4,0.166666833,0
#1 uniform,23,2,2,5,0.000000333,1
#1 uniform,23,2,3,2,0.166666833,1
#1 uniform,23,2,3,3,0.166666833,1
#1 uniform,23,2,3,4,0.166666833,1
#1 uniform,23,2,3,5,0.000000333,1
#1 uniform,23,2,4,2,0.166666833,0
#1 uniform,23,2,4,3,0.166666833,0
#1 uniform,23,2,4,4,0.166666833,0
#1 uniform,23,2,4,5,0.000000333,1
#1 uniform,23,2,5,2,0.166666833,1
#1 uniform,23,2,5,3,0.166666833,1
#1 uniform,23,2,5,4,0.166666833,0
#1 uniform,23,2,5,5,0.000000333,1
#1 uniform,24,2,0,2,0.166666833,1
#1 uniform,24,2,0,3,0.166666833,1
#1 uniform,24,2,0,4,0.166666833,1
#1 uniform,24,2,0,5,0.000000333,1
#1 uniform,24,2,1,2,0.166666833,1
#1 uniform,24,2,1,3,0.166666833,1
#1 uniform,24,2,1,4,0.166666833,1
#1 uniform,24,2,1,5,0.000000333,1
#1 uniform,24,2,2,2,0.166666833,1
#1 uniform,24,2,2,3,0.166666833,1
#1 uniform,24,2,2,4,0.166666833,0
#1 uniform,24,2,2,5,0.000000333,1
#1 uniform,24,2,3,2,0.166666833,1
#1 uniform,24,2,3,3,0.166666833,1
#1 uniform,24,2,3,4,0.166666833,1
#1 uniform,24,2,3,5,0.000000333,1
#1 uniform,24,2,4,2,0.166666833,0
#1 uniform,24,2,4,3,0.166666833,0
#1 uniform,24,2,4,4,0.166666833,0
#1 uniform,24,2,4,5,0.000000333,1
#1 uniform,24,2,5,2,0.166666833,1
#1 uniform,24,2,5,3,0.166666833,1
#1 uniform,24,2,5,4,0.166666833,1
#1 uniform,24,2,5,5,0.000000333,1
#1 uniform,25,2,0,2,0.166666833,1
#1 uniform,25,2,0,3,0.166666833,1
#1 uniform,25,2,0,4,0.166666833,1
#1 uniform,25,2,0,5,0.000000333,1
#1 uniform,25,2,1,2,0.166666833,1
#1 uniform,25,2,1,3,0.166666833,1
#1 uniform,25,2,1,4,0.166666833,1
#1 uniform,25,2,1,5,0.000000333,1
#1 uniform,25,2,2,2,0.166666833,1
#1 uniform,25,2,2,3,0.166666833,1
#1 uniform,25,2,2,4,0.166666833,0
#1 uniform,25,2,2,5,0.000000333,1
#1 uniform,25,2,3,2,0.166666833,1
#1 uniform,25,2,3,3,0.166666833,1
#1 uniform,25,2,3,4,0.166666833,1
#1 uniform,25,2,3,5,0.000000333,1
#1 uniform,25,2,4,2,0.166666833,1
#1 uniform,25,2,4,3,0.166666833,1
#1 uniform,25,2,4,4,0.166666833,0
#1 uniform,25,2,4,5,0.000000333,1
#1 uniform,25,2,5,2,0.166666833,1
#1 uniform,25,2,5,3,0.166666833,1
#1 uniform,25,2,5,4,0.166666833,1
#1 uniform,25,2,5,5,0.000000333,1
#1 uniform,26,2,0,2,0.166666833,1
#1 uniform,26,2,0,3,0.166666833,1
